intensidad,ocupacion
6.510563,0.7464789
6.291228,0.6035088
5.810526,0.6666667
5.631579,0.5929825
5.164912,0.4561403
4.750877,0.4842105
4.003509,0.2982456
3.764912,0.2877193
3.778947,0.3017544
3.414035,0.2105263
2.908772,0.1964912
2.950877,0.1368421
2.768421,0.1508772
3.042105,0.2701754
2.554386,0.1052632
2.34386,0.1333333
2.129825,0.1298246
2.34386,0.3192982
2.02807,0.445614
2.147368,0.4736842
2.02807,0.4807017
1.940351,0.508772
1.624561,0.1964912
1.761404,0.4561403
1.477193,0.154386
1.498246,0.06315789
1.589474,0.07017544
1.705263,0.07017544
1.361403,0.04912281
1.34386,0.03508772
1.340351,0.03859649
1.231579,0.03859649
1.326316,0.04561403
1.221053,0.03508772
1.147368,0.1087719
1.333333,0.154386
1.315789,0.06666667
1.207018,0.07017544
1.350877,0.0877193
1.010526,0.03859649
1.039146,0.04270463
1.163701,0.04626334
1.220641,0.1316726
1.391459,0.06405694
1.476868,0.09964412
1.551601,0.06049822
1.434164,0.05338078
1.24911,0.05338078
1.221053,0.0245614
1.189474,0.05263158
1.070175,0.02807018
1.305263,0.07368421
1.150877,0.04912281
1.463158,0.05263158
1.424561,0.07368421
1.582456,0.08070175
1.57193,0.1929825
1.736842,0.2842105
2.031579,0.1824561
1.898246,0.09824561
1.873684,0.1192982
2.147368,0.1578947
2.168421,0.122807
2.449123,0.1859649
2.607018,0.1824561
3.021053,0.3263158
3.466667,0.3157895
3.915789,0.3263158
4.614035,0.4245614
5.322807,0.5578948
5.592982,0.5684211
5.554386,0.6491228
6.196491,0.7017544
6.038597,0.8175439
7.284211,0.9473684
8.4,1.154386
9.319298,1.403509
9.621053,1.564912
11.87018,1.778947
13.61053,2.192982
15.32632,2.42807
17.20702,3.508772
19.02105,3.498246
19.18596,3.333333
20.15088,3.375439
20.91228,3.712281
23.83158,4.578948
26.24211,5.245614
29.60351,6.74386
31.61754,7.210526
34.66667,8.161404
37.01754,9.484211
40.57544,10.6
44.27369,12.07018
44.63158,12.95439
44.58596,13.1614
44.64561,12.52281
42.01403,11.96842
40.87017,11.90526
40.50526,11.74386
41.05965,12.09825
41.3614,12.44211
40.38596,12.11228
40.74737,12.04211
40.52632,11.83509
40.46667,12.1579
41.4539,11.77305
39.4421,11.52281
37.85614,12.12281
36.7579,10.67368
35.97895,11.32982
37.0669,11.35211
38.67037,10.98889
37.74815,10.37037
37.02963,9.7
34.71481,9.644444
35.65427,9.312267
34.98889,9.311111
35.23881,9.149254
33.40298,8.832089
32.10332,8.756457
32.48339,8.457564
30.62362,8.568266
32.71587,8.660517
31.96296,8.525926
32.27037,8.540741
32.68662,8.130281
32.21831,8.260564
32.54226,8.542253
31.92606,8.320422
32.8662,8.792253
31.91901,8.524648
31.05282,8.288733
32.44718,8.757042
32.04578,8.478873
32.13733,8.595071
33.46667,8.673684
33.3193,8.778948
33.63509,8.831579
34.44912,9.217544
34.26316,9.133333
34.27018,8.908772
33.96842,8.803509
33.19298,8.442105
32.0386,8.529824
32.0386,9.333333
32.43859,8.757895
31.96842,9.140351
33.45263,9.147368
33.92632,9.305264
33.43772,9.124556
34.09253,9.427046
34.52143,9.957143
34.55714,9.964286
34.41786,9.996428
35.05357,10.34286
35.20357,9.989285
34.81429,10.45714
36.9,10.93571
36.25,10.16429
36.63929,10.21071
36.92857,9.853572
36.9331,10.28169
38.16901,9.964788
38.17606,10.69718
38.45774,10.81338
39.32042,10.58451
38.54737,10.20351
39.51748,10.97552
38.28671,10.55245
43.21329,12.78322
46.60839,13.98252
44.35315,14.17482
45.75704,15.15845
43.62455,13.54874
41.22887,13.77817
44.08099,13.70423
42.74825,13.40909
41.57343,13.54545
