intensidad,ocupacion
5.533333,0.69
7.783333,1.033333
7.57,1.01
7.043334,0.82
6.503334,0.69
5.766667,0.5933333
5.923333,0.74
5.16,0.5133333
4.656667,0.5933333
4.133333,0.3666667
4.33,0.3033333
4.123333,0.34
3.753333,0.26
3.696667,0.2666667
3.593333,0.29
3.393333,0.25
3.144295,0.1845638
2.77,0.2133333
2.57,0.1633333
2.546667,0.1633333
2.393333,0.1433333
2.226667,0.1366667
2.013333,0.17
2.143333,0.2733333
1.93,0.14
1.65,0.06
1.58,0.1666667
1.73,0.05333333
1.85,0.1666667
1.453333,0.04333333
1.47,0.05666667
1.402685,0.08053691
1.47,0.05
1.456667,0.05666667
1.486667,0.05333333
1.653333,0.1433333
1.47,0.1533333
1.02,0.06
1.373333,0.05666667
1.353333,0.13
1.163333,0.03
1.216667,0.1366667
1.206667,0.04
1.17,0.05333333
1.226667,0.05333333
1.346667,0.07
1.253333,0.15
1.36,0.09
1.29,0.1066667
1.26,0.05666667
1.316667,0.04333333
1.283333,0.21
1.587248,0.06711409
1.453333,0.1033333
1.696667,0.1333333
1.706667,0.08333334
1.876667,0.3433333
1.743333,0.1833333
1.796667,0.08
2.1,0.1433333
2.203333,0.2033333
1.996667,0.1366667
2.53,0.1666667
2.876667,0.3766667
2.831615,0.185567
3.473333,0.3233333
4.063334,0.6033334
4.34,0.51
4.796667,0.7733333
5.846667,0.67
5.866667,0.6033334
5.896667,0.6933333
6.418919,0.9155405
6.721477,0.9664429
8.372483,1.073825
8.808081,1.228956
9.722973,1.456081
10.45638,1.651007
12.68243,2.206081
14.3569,2.518518
16.38384,2.821549
19.07407,3.457912
19.96309,3.385906
20.0906,3.577181
20.43624,3.741611
21.44295,4.137584
24.81271,4.615385
27.67114,5.385906
29.95033,6.185431
33.20199,7.589404
34.81457,8.238411
37.9,9.743333
40.39735,10.55298
42.68874,12.08609
44.84768,13.11589
45.62252,13.62914
43.94631,13.25168
43.39202,13.49502
43.07309,12.12625
42.49338,12.39073
40.35313,11.83168
38.72277,11.50165
38.69408,12.61513
39.17218,13.39735
38.22623,12.64262
37.9541,13.37377
38.86513,12.98355
38.22697,12.67434
36.83224,11.82237
35.62252,10.71192
34.94079,10.64474
35.72368,10.83882
34.24918,9.121311
33.20656,9.091804
31.27541,8.940984
30.2459,8.659017
29.92131,8.144262
29.88853,8.780328
28.05574,9.35082
28.25574,10.04918
27.52805,9.867987
27.74013,10.16118
26.91776,9.904605
27.35526,10.04934
26.75166,9.29139
26.90033,7.671096
27.62791,7.036545
27.66,7.386667
26.9106,6.990066
27.95695,7.311258
28.7947,7.837749
27.47525,7.726073
27.80328,8.665574
28.22623,8.334426
28.07541,8.665574
28.65894,8.586093
29.48039,8.238562
29.55229,8.80719
29.80412,8.804124
29.54575,9.408497
29.15359,9.490196
28.86601,8.875817
30.27961,9.180921
30,8.514852
29.18482,7.785479
28.9967,8
29.90429,8.184818
29.23841,8.02649
30.27152,8.52649
30.12871,8.237624
28.66997,7.69637
30.42763,8.213816
29.86885,8.190164
29.48853,8.426229
30.23102,8.844885
29.64262,8.495082
29.28197,8.462296
29.62623,8.521312
29.80984,9.809836
29.34426,8.672132
31.41967,8.327868
32.19016,8.590164
30.97377,9.252459
32.25574,9.298361
33.4623,9.413115
33.52787,9.731148
33.33115,9.390164
32.72459,9.678688
32.20984,9.216393
33.71475,9.67541
38.28852,11.7541
41.93771,12.54098
40.67869,12.39672
39.93115,11.36393
39.70492,10.53115
38.31803,10.72787
41.58361,12.79672
40.9637,13.07261
40.6412,12.55482
38.47508,12.12625
38.29568,11.19269
37.81063,10.66777
38.12292,10.57807
40.59136,12.15615
38.6711,12.12625
36.93688,11.20266
35.71429,9.581395
33.73841,8.927153
33.10596,9.009933
32.41667,8.903334
31.41391,7.523179
29.34106,7.334437
28.22549,7.094771
27.9183,6.794117
28.63725,6.898693
29.34967,7.457516
29.19935,7.264706
29.16066,7.521311
28.66229,6.845901
26.77377,6.603279
28.80984,7.216393
30.48185,7.970297
30.35082,7.504918
29.24918,7.419672
27.96393,7.055737
27.62951,6.931148
28.22623,7.177049
30.6,7.927869
32.55116,8.567657
31.51147,8.344262
30.5541,8.881968
30.23934,8.711475
30.02295,8.947541
31.77705,9.203279
31.08525,8.859016
30.87582,8.535948
30.33987,8.150327
29.69737,7.960526
30.4183,8.062092
32.41447,8.598684
34.51307,10.46732
32.08823,9.69281
32.18301,10.12745
31.39274,9.221122
31.86139,8.887789
32.18152,9.158416
32.8505,9.641196
32.36304,9.455445
30.51815,9.128713
31.15894,8.430464
31.75497,9.380795
31.95066,9.634869
32.91447,9.6875
32.22697,10.33882
31.22039,9.542763
30.10855,9.717105
31.46382,10.4671
31.21053,9.911184
31.42763,10.98684
31.94079,9.911184
29.57566,8.361842
30.21382,8.115131
31.91447,8.631579
32.81579,9.055921
35.00662,9.39404
33.65789,8.828947
31.48355,8.108553
29.44224,7.174918
30.15182,7.042904
30.91089,7.174918
28.40594,6.471947
28.27961,6.161184
25.98026,5.529605
24.58553,5.016448
25.59539,5.25
25.78405,5.096345
25.23432,5.029703
22.88779,4.669967
21.38284,4.247525
20.07591,4.026402
19.76238,3.620462
18.65676,3.518152
17.10438,3.030303
16.30743,2.597973
15.31987,2.599327
14.6229,2.262626
15.19932,2.425676
15.35811,2.45946
15.07071,2.511785
13.61409,1.932886
11.94314,1.812709
11.52805,1.792079
10.71947,1.69637
10.28904,1.534884
9.586093,1.307947
9.199335,1.305648
8.511628,1.265781
8.601329,1.182724
8.875,1.135135
8.652027,1.300676
8.615646,1.268708
7.860544,1.357143
7.207483,0.8979592
6.610738,0.7986577
6.694631,1.077181
6.364549,0.9866221
6.214047,0.8026756
5.876667,0.7433333
