FECHA; TIPO DIA; DOCEAVO; NVEHICULOS; OCUPACION; MUESTRAS
2022-11-14 00:00:00.000;L;95;42,35689;12,69258;283
2022-11-13 00:00:00.000;F;162;26,96233;6,962329;292
2022-11-12 00:00:00.000;S;165;32,17606;9,426056;284
2022-11-11 00:00:00.000;L;173;45,39085;15,74648;284
2022-11-10 00:00:00.000;L;95;43,64505;13,38225;293
2022-11-09 00:00:00.000;L;95;40,74908;15,44649;271
2022-11-08 00:00:00.000;L;95;43,43123;12,65427;269
2022-11-07 00:00:00.000;L;95;42,81379;13,82069;290
2022-11-06 00:00:00.000;F;233;29,64112;7,696864;287
2022-11-05 00:00:00.000;S;171;31,32069;8,244827;290
2022-11-04 00:00:00.000;L;174;43;16,63103;290
2022-11-03 00:00:00.000;L;95;43,26461;14,19244;291
2022-11-02 00:00:00.000;L;95;43,62759;14,12759;290
2022-11-01 00:00:00.000;F;233;26,82517;5,43007;286
2022-10-31 00:00:00.000;L;172;39,57576;11,26936;297
2022-10-30 00:00:00.000;F;238;25,3277;5,175676;296
2022-10-29 00:00:00.000;S;170;32,06271;8,594059;303
2022-10-28 00:00:00.000;L;96;44;12,76451;293
2022-10-27 00:00:00.000;L;96;43,64966;12,28912;294
2022-10-26 00:00:00.000;L;96;43,98621;13,2;290
2022-10-25 00:00:00.000;L;95;44,52381;14,70068;294
2022-10-24 00:00:00.000;L;95;43,79655;13,87586;290
2022-10-23 00:00:00.000;F;236;26,0598;6,940199;301
2022-10-22 00:00:00.000;S;167;30,5625;8,239583;288
2022-10-21 00:00:00.000;L;171;43,02406;14,73883;291
2022-10-20 00:00:00.000;L;95;44,98339;13,26246;301
2022-10-19 00:00:00.000;L;96;44,66447;14,35855;304
2022-10-18 00:00:00.000;L;94;45,50993;13,4106;302
2022-10-17 00:00:00.000;L;95;45,62252;13,62914;302
2022-10-16 00:00:00.000;F;244;29,77741;7,398671;301
2022-10-15 00:00:00.000;S;171;31,65789;8,381579;304
2022-10-14 00:00:00.000;L;96;44,65;12,83;300
2022-10-13 00:00:00.000;L;96;44,56954;13,57947;302
2022-10-12 00:00:00.000;F;164;30,60851;8,825532;235
2022-10-11 00:00:00.000;L;96;44,92733;14,47405;289
2022-10-10 00:00:00.000;L;95;43,61056;16,0264;303
2022-10-09 00:00:00.000;F;245;27,45364;7,02649;302
2022-10-08 00:00:00.000;S;249;32,62583;10,36755;302
2022-10-07 00:00:00.000;L;95;44,73597;13,33663;303
2022-10-06 00:00:00.000;L;96;45,25902;13,57705;305
2022-10-05 00:00:00.000;L;94;44,21595;13,01329;301
2022-10-04 00:00:00.000;L;95;44,09091;13,69697;297
2022-10-03 00:00:00.000;L;96;44,6875;13,78618;304
2022-10-02 00:00:00.000;F;244;26,16994;6,382353;306
2022-10-01 00:00:00.000;S;252;33,29508;9,92459;305
2022-09-30 00:00:00.000;L;171;44,75163;15,72876;306
2022-09-29 00:00:00.000;L;95;44,85197;13,04276;304
2022-09-28 00:00:00.000;L;96;43,29801;13,37417;302
2022-09-26 00:00:00.000;L;94;43,91126;13,48805;293
2022-09-25 00:00:00.000;F;251;27,98644;6,81017;295
2022-09-24 00:00:00.000;S;171;30,16327;7,70068;294
2022-09-23 00:00:00.000;L;171;44,30952;15,2381;294
2022-09-22 00:00:00.000;L;95;44,67636;13,18909;275
2022-09-21 00:00:00.000;L;95;43,66899;13,25436;287
2022-09-20 00:00:00.000;L;94;42,88153;12,91638;287
2022-09-19 00:00:00.000;L;94;43,36713;13,15734;286
2022-09-18 00:00:00.000;F;249;29,01045;8,160278;287
2022-09-17 00:00:00.000;S;161;29,25435;7,700348;287
2022-09-16 00:00:00.000;L;171;42,88621;14,15862;290
2022-09-15 00:00:00.000;L;173;41,67241;15,83793;290
2022-09-14 00:00:00.000;L;173;41,00359;14,95341;279
2022-09-13 00:00:00.000;L;172;41,05575;12,69338;287
2022-09-12 00:00:00.000;L;173;40,52;12,03273;275
2022-09-11 00:00:00.000;F;243;29,33922;8,636043;283
2022-09-10 00:00:00.000;S;258;26,97552;6,122377;286
2022-09-09 00:00:00.000;L;171;41,8042;13,66783;286
2022-09-08 00:00:00.000;L;173;39,99301;11,88112;286
2022-09-07 00:00:00.000;L;171;41,1362;11,88889;279
2022-09-06 00:00:00.000;L;173;40,33333;11,9375;288
2022-09-05 00:00:00.000;L;172;40,24555;13,29893;281
2022-09-04 00:00:00.000;F;255;23,09158;4,739927;273
2022-09-03 00:00:00.000;S;164;25,67606;6;284
2022-09-02 00:00:00.000;L;173;39,43554;14,43554;287
2022-09-01 00:00:00.000;L;183;39,14134;11,48057;283
2022-08-31 00:00:00.000;L;183;37,79861;11,00694;288
2022-08-30 00:00:00.000;L;183;35,55749;9,463414;287
2022-08-29 00:00:00.000;L;183;36,42908;10,20567;282
2022-08-28 00:00:00.000;F;245;20,29643;4,164286;280
2022-08-27 00:00:00.000;S;159;20,48763;4,812721;283
2022-08-26 00:00:00.000;L;171;35,07194;8,604317;278
2022-08-25 00:00:00.000;L;183;33,91549;7,598591;284
2022-08-24 00:00:00.000;L;183;32,8951;9,402098;286
2022-08-23 00:00:00.000;L;183;33,09702;7,854477;268
2022-08-22 00:00:00.000;L;183;32,83516;8,871795;273
2022-08-21 00:00:00.000;F;261;18,15493;3,380282;284
2022-08-20 00:00:00.000;S;148;19,59929;6,117021;282
2022-08-19 00:00:00.000;L;171;31,39649;9,192983;285
2022-08-18 00:00:00.000;L;183;31,07801;7,609929;282
2022-08-17 00:00:00.000;L;183;30,31183;6,827957;279
2022-08-16 00:00:00.000;L;171;30,91873;8,056537;283
2022-08-15 00:00:00.000;F;243;24,46763;7,615108;278
2022-08-14 00:00:00.000;F;256;18,55;5,675;280
2022-08-13 00:00:00.000;S;153;20,95699;6,433692;279
2022-08-12 00:00:00.000;L;171;31,41549;7,542253;284
2022-08-11 00:00:00.000;L;171;32,18478;8,460145;276
2022-08-10 00:00:00.000;L;183;30,86879;7,390071;282
2022-08-09 00:00:00.000;L;183;32,59787;7,97153;281
2022-08-08 00:00:00.000;L;183;32,42349;9,455516;281
2022-08-07 00:00:00.000;F;256;18,29286;4,307143;280
2022-08-06 00:00:00.000;S;241;21,89789;7,387324;284
2022-08-05 00:00:00.000;L;172;32,65467;9,151079;278
2022-08-04 00:00:00.000;L;183;33,55;8,903571;280
2022-08-03 00:00:00.000;L;183;33,27273;8,258182;275
2022-08-02 00:00:00.000;L;183;33,24648;7,954226;284
2022-08-01 00:00:00.000;L;183;35,05338;8,690392;281
2022-07-31 00:00:00.000;F;260;19,59498;4,55914;279
2022-07-30 00:00:00.000;S;149;22,16187;6,665468;278
2022-07-29 00:00:00.000;L;172;36,75261;10,95122;287
2022-07-28 00:00:00.000;L;183;37,94224;9,624549;277
2022-07-27 00:00:00.000;L;171;36,0106;10,63251;283
2022-07-26 00:00:00.000;L;184;37,02135;9,715302;281
2022-07-25 00:00:00.000;L;171;37,78521;11,1831;284
2022-07-24 00:00:00.000;F;249;18,96727;3,810909;275
2022-07-23 00:00:00.000;S;148;21,08961;5,150537;279
2022-07-22 00:00:00.000;L;171;39,83688;10,8156;282
2022-07-21 00:00:00.000;L;183;37,02473;10,67138;283
2022-07-20 00:00:00.000;L;183;38,23132;10,01779;281
2022-07-19 00:00:00.000;L;171;37,40702;10,07719;285
2022-07-18 00:00:00.000;L;171;37,54704;10,63763;287
2022-07-17 00:00:00.000;F;257;20,78572;4,596428;280
2022-07-16 00:00:00.000;S;140;22,27817;5,894366;284
2022-07-15 00:00:00.000;L;171;40,72028;12,38112;286
2022-07-14 00:00:00.000;L;183;38,84775;11,25259;289
2022-07-13 00:00:00.000;L;171;38,65278;10,51042;288
2022-07-12 00:00:00.000;L;183;39,99291;10,64894;282
2022-07-11 00:00:00.000;L;172;39,12676;12,10563;284
2022-07-10 00:00:00.000;F;251;20,39858;4,779359;281
2022-07-09 00:00:00.000;S;148;22,57244;5,689046;283
2022-07-08 00:00:00.000;L;173;40,92632;12,17544;285
2022-07-07 00:00:00.000;L;171;39,85915;9,665493;284
2022-07-06 00:00:00.000;L;173;39,55903;9,704861;288
2022-07-05 00:00:00.000;L;173;40,42958;10,15845;284
2022-07-04 00:00:00.000;L;92;42,12963;8,888889;54
2022-07-03 00:00:00.000;F;251;22,05338;5,590747;281
2022-07-02 00:00:00.000;S;149;24,36525;5,666667;282
2022-07-01 00:00:00.000;L;171;42,24911;12,55516;281
2022-06-30 00:00:00.000;L;173;41,91873;12,9894;283
2022-06-29 00:00:00.000;L;171;41,00364;12,88727;275
2022-06-28 00:00:00.000;L;173;42,17986;12,16187;278
2022-06-27 00:00:00.000;L;173;41,78369;11,7695;282
2022-06-26 00:00:00.000;F;248;25,8741;6,841727;278
2022-06-25 00:00:00.000;S;149;26,28723;5,992908;282
2022-06-24 00:00:00.000;L;173;42,84211;18,0421;285
2022-06-23 00:00:00.000;L;173;42,35231;13,64057;281
2022-06-22 00:00:00.000;L;171;42,54513;14,34657;277
2022-06-21 00:00:00.000;L;173;43,17343;13,05904;271
2022-06-20 00:00:00.000;L;173;41,52555;12,75547;274
2022-06-19 00:00:00.000;F;236;24,30258;6,494465;271
