intensidad,ocupacion
8.684015,1.182156
7.654135,1.003759
8.157895,0.9699248
7.582707,0.906015
7.714286,0.8834587
6.992481,0.8796992
7.199248,0.8195488
6.417293,0.6917293
6.43609,0.7105263
6.3,0.7777778
5.933333,0.6777778
6.181481,0.6518518
5.266667,0.5666667
4.914815,0.6074074
4.877778,0.9888889
4.225564,1.082707
4.236842,1.078947
4.180451,1.093985
3.635338,1.131579
3.259259,0.9370371
2.803704,0.9592593
2.862963,0.9444444
2.685185,0.9259259
2.288889,0.8333333
2.149813,0.8464419
2.125926,0.8518519
2.192593,0.2
2.111111,0.1703704
2.014815,0.1074074
1.9,0.1592593
1.718518,0.0962963
1.540741,0.08518519
1.533333,0.06666667
1.422222,0.04814815
1.333333,0.08239701
1.211111,0.03333334
1.040741,0.02592593
0.8518519,0.02962963
0.9740741,0.02222222
1.074074,0.1222222
1.062963,0.03333334
0.9592593,0.04814815
0.9148148,0.02962963
0.9592593,0.06296296
1.044444,0.08518519
0.9740741,0.02592593
0.9475656,0.05992509
1.018727,0.05617978
0.9444444,0.07037037
0.9370371,0.07037037
0.9851852,0.04814815
1.181481,0.08148148
0.9925926,0.04814815
1.059259,0.04444445
1.196296,0.03703704
1.214815,0.05925926
1.311111,0.3555556
1.292593,0.8111111
1.344444,0.7888889
1.537037,0.8407407
1.340741,0.8074074
1.533333,0.8444445
1.677778,0.8962963
1.785185,0.8185185
1.851852,0.8444445
2.307407,0.9259259
3.022222,1.007407
3.244444,1.003704
3.881481,1.248148
4.340741,1.462963
4.719101,1.400749
4.611111,1.303704
4.425926,1.22963
4.711111,1.351852
5.614232,1.486891
6.783582,1.679104
7.739777,1.959108
8.475656,1.599251
10.6579,1.669173
12.74812,2.12782
15.5206,2.681648
16.65298,3.05597
17.39552,3.059701
16.94796,3.118959
15.36803,2.817844
14.73978,2.472119
15.42379,2.698885
16.73234,3.141264
18.37918,3.479554
19.88476,3.817844
21.04104,4.130597
21.78358,4.63806
24.20522,5.496269
26.46269,5.69403
27.13433,5.88806
26.25373,6.014925
24.92164,5.343284
22.6194,5.05597
21.79851,4.854477
22.17164,5.100746
20.99245,4.796227
22.52239,5.522388
23.06343,5.287313
23.34328,5.447761
23.14925,5.246269
24.03717,5.446096
23.98141,5.531599
23.35316,5.297398
22.56134,5.342008
21.72491,4.877324
21.62453,5.29368
22.95911,5.152416
22.81716,5.787313
22.64552,5.208955
22.68657,5.597015
22.10821,5.477612
23.39925,5.529851
22.85448,5.425373
23.54445,5.551852
24.27778,5.725926
22.84074,5.651852
23.29259,5.596296
21.95555,5.344444
22.41729,5.056391
23.44737,5.30827
23.09398,5.447369
24.19925,5.511278
24.74906,5.797753
24.32584,5.876404
24.65169,5.910112
26.2952,6.487085
25.57196,6.335793
24.46125,6.531365
26.46494,7.656826
25.87454,7.302583
25.57934,6.911439
26.49816,6.734317
26.30258,6.424354
27.33579,6.918819
27.22878,7.158671
27.79851,7.347015
28.64576,7.339483
27.02214,6.874539
27.92251,6.918819
27.69742,7.02583
26.83026,6.557196
28.66052,7.04059
27.70111,6.760148
29.08118,7.387454
28.40959,6.918819
27.78229,7.036901
27.59779,6.535055
27.53506,6.350554
27.29151,6.900369
26.67407,6.637037
26.78889,6.22963
27.16667,6.174074
25.67897,5.95941
26.87823,5.926199
26.98524,6.343174
26.80443,6.062731
26.2214,5.907749
25.90406,5.922509
25.72325,5.797048
26.99631,5.929889
26.21642,5.932836
26.50923,5.675277
25.76384,5.612546
26.05166,5.601476
26.04059,5.841329
29.84502,6.837638
31.81181,7.236162
30.46125,6.929889
30.46067,6.779026
29.29214,6.531835
27.81648,6.11985
29.05243,6.374532
29.08647,6.086466
28.73308,5.932331
27.15789,5.496241
26.77068,5.860902
27.3985,5.740602
29.28572,6.785714
31.72556,7.894737
30.95489,7.954887
27.89098,6.578948
24.35714,5.62782
21.0188,4.646616
20.2406,4.255639
18.68797,3.661654
17.83459,3.56391
16.99248,3.308271
16.4382,3.250936
15.81273,3.307116
15.27341,3.659176
15.73034,3.7603
16.56929,3.700375
15.02996,3.194757
16.26568,3.328413
15.52768,3.088561
15.09259,3.155555
16.15498,3.394834
16.90406,3.745388
15.90775,3.546125
15.9262,3.483395
15.69004,3.719557
15.89299,3.586716
16.16236,3.247232
16.61624,3.896679
16.19557,3.771218
15.99262,3.815498
16.11439,3.811808
15.90037,3.881919
16.82657,4.306273
17.60517,4.062731
16.15129,3.837638
16.2952,3.413284
16.39852,3.520295
17.11439,4.04797
17.63469,3.793358
17.81181,3.793358
18.60517,4.129151
17.49627,3.996269
18.79705,4.147602
18.67528,4.118081
18.91882,4.140222
18.23985,3.918819
19.14391,4.343174
17.97048,4.177122
18.93727,4.704797
19.39483,4.811808
19.92251,4.424354
20.16236,4.675277
20.28044,4.922509
20.92989,4.863469
20.21033,4.535055
20.42804,4.712177
20.7786,4.701107
22.23985,5.221402
21.56827,4.715867
20.46125,4.516605
20.50554,4.800738
21.10332,4.878229
21.58672,4.98893
21.79336,5.099631
21.83764,4.856089
21.76384,4.767528
21.1037,4.759259
21.1,5.955555
21.49446,6.140222
21.08856,6.479705
20.28413,6.191882
20.4797,6.313653
20.8524,7.206642
20.76866,6.171642
22.19926,6.483395
20.97786,7.206642
20.42804,5.413284
20.35055,5.332103
19.8155,4.782288
19.34074,4.562963
19.18889,4.125926
18.10741,3.825926
17.55556,3.566667
17.08519,3.7
15.38519,2.881481
15.47778,2.948148
16.98519,3.203704
17.01111,3.033333
15.14815,2.87037
13.96255,2.400749
13.89015,2.647727
12.46494,2.070111
11.8155,2.291513
11.53506,2.070111
10.34317,1.778598
10.32841,1.712177
9.756457,1.623616
10.63704,1.744444
10.18959,1.594796
10.33955,1.940299
9.561338,1.546468
8.907063,1.375465
8.962825,1.442379
9.055762,1.553903
9.126394,1.524164
9.126394,1.605948
8.460966,1.531599
