intensidad,ocupacion
9.665455,1.534545
7.178832,1.054744
6.912409,1.156934
6.945255,1.010949
6.810219,1.19708
6.879562,1.167883
5.868613,0.5620438
5.543796,0.7043796
5.39781,0.6788321
5.324818,1.208029
4.605839,0.5437956
4.551095,0.3576642
4.029197,0.3357664
4.018248,0.2883212
3.872263,0.350365
3.463504,0.2189781
3.627737,0.2445256
3.09854,0.2737226
2.638686,0.1386861
2.861314,0.1642336
2.39781,0.1423358
2.478102,0.1131387
2.372263,0.1131387
2.00365,0.1459854
1.824818,0.0729927
1.902256,0.07142857
1.883459,0.09022556
1.755639,0.04887218
1.676692,0.06390978
1.699248,0.06390978
1.37218,0.04511278
1.48855,0.04961832
1.427481,0.04580153
1.318519,0.04074074
1.337037,0.03703704
1.262963,0.02222222
1.037037,0.02592593
1.022222,0.05925926
1.214815,0.03703704
1.277778,0.02962963
1.214815,0.02962963
1.259259,0.02592593
1.296296,0.03703704
1.092593,0.04444445
1.388889,0.06296296
1.074074,0.03703704
1.362963,0.06666667
1.237037,0.02222222
1.174074,0.02592593
1.166667,0.04814815
1.125926,0.07037037
1.186131,0.03649635
1.20438,0.03284672
1.332117,0.09854015
1.328467,0.04379562
1.613139,0.08394161
1.788321,0.08394161
1.733577,0.09854015
1.908759,0.1167883
1.923358,0.1021898
2.021898,0.1423358
2.19708,0.1277372
2.306569,0.1277372
2.408759,0.1313869
2.864964,0.2007299
3.193431,0.2116788
3.343066,0.2372263
4.105839,0.3138686
4.635036,0.4343066
5.087591,0.5182482
5.489051,0.5328467
5.828467,0.6788321
6.300354,0.9575972
5.992701,0.8175182
7.780919,0.9646643
9.049645,1.156028
10.14539,1.382979
10.59707,1.520146
12.02491,1.733096
14.2967,2.238095
16.65018,2.650177
18.02888,3.101083
19.16783,3.468531
19.02888,3.729242
20.51748,4.223776
19.725,4.042857
23.36678,4.847751
24.87189,5.441281
28.30796,6.657439
29.79715,8.462633
30.36207,11.13448
32.78648,13.25267
35.58477,13.74048
38.58423,13.68459
41.65505,16.44251
39.35971,15.33094
39.18815,15.81185
38.19203,15.1558
37.45804,13.6014
37.45848,13.48375
37.92308,13.96853
38.4359,13.27839
37.41755,13.35439
37.93478,13.73551
38.73333,13.88772
38.91636,14.6
39.14085,16.51056
39.75458,14.12454
37.12766,13.74468
37.25,12.5
39.16842,12.23158
36.90253,11.60289
36.95105,12.23077
36.82671,12.43321
34.34859,11.09859
32.50714,11.36071
33.01038,10.61592
32.2,10.68214
32.20415,10.19031
32.53873,8.605634
31.25263,8.614035
29.06522,8.039855
29.35789,8.066667
29.50546,8.698182
29.87847,8.427083
28.97857,7.964286
29.3564,7.951557
29.90592,8.557491
30.12111,8.148788
29.43262,8.024822
29.1512,7.591065
28.74468,8.074468
29.39519,8.316152
29.10993,7.946808
29.39236,7.902778
29.24468,7.315603
30.5945,8.127148
29.70567,8.631206
30.56701,8.223368
29.98582,8.333333
30.02062,8.563574
29.64894,7.62766
30.30928,7.780069
29.60854,7.679715
29.58621,7.731034
29.60854,8.049822
30.76552,7.827586
29.57651,8.010676
30.96897,8.631035
30.57706,7.756272
29.85862,7.582758
30.39643,7.867857
31.49135,7.865052
29.29391,7.032258
31.11419,7.903114
29.90714,7.792857
30.97232,7.574394
30.22143,7.407143
31.04844,7.871972
30.74286,7.614286
31.35764,7.5625
31.6,8.025
32.2872,8.439446
31.89286,8.442857
34.81597,9.229167
34.34286,9.667857
33.84375,9.420139
33.33214,8.303572
33.97917,8.340278
34.28929,8.760715
39.32526,10.61246
40.85765,11.7758
40,11.73448
40.93594,12.76157
40.13841,12.70934
37.5089,11.91815
41.04514,12.69792
40.39146,12.37367
39.79655,11.22414
38.78648,11.08541
37.44138,11.17586
37.74729,10.80866
38.79021,11.84266
39.75451,11.33574
40.64085,11.09859
37.81818,10.90545
37.2676,11.22535
33.52174,9.724638
32.6049,9.409091
32.43116,8.873188
31.65263,8.319298
30.55,8.375
28.6875,7.902778
26.77978,5.815885
26.98264,6.350695
26.47312,5.9319
27.48958,6.670139
26.49454,6.090909
27.58803,6.348591
26.47636,6.792727
26.52265,6.606272
27.2482,6.284173
28.02439,6.344948
28.26978,6.798561
27.0036,6.485611
28.2482,6.809352
27.66899,6.797909
28.31655,6.938849
30.03833,7.557491
29.57914,8.061152
29.55401,7.916376
28.82374,8.582734
29.53819,8.451389
30.17204,8.587813
31.09375,9.319445
32.33333,9.028986
31.35789,8.133333
30.8705,8.428058
32.14931,8.565972
33.98925,9.491039
34.88276,10.0069
34.62278,9.576512
34.07904,9.907216
32.28369,10.35461
33.62886,11.67698
34.07447,11.2234
34.18557,11.13402
34.08088,11.25735
32.79004,11.1637
33.98535,11.27472
33.4078,10.70213
34.07063,10.74721
35.175,11.17857
34.7305,11.80496
34.2921,10.35739
35.07447,12.88298
35.2165,13.42955
34.61702,12.5
34.80412,10.43643
34.48582,10.85106
33.86254,10.37457
33.61786,11.66071
33.09278,10.93471
32.6773,10.71986
33.26644,11.609
33.67376,11.7695
31.66667,10.80069
31.15302,9.846975
31.67241,9.551724
31.06762,9.647687
31.45296,8.22648
29.16488,8.978495
28.08681,9.222222
25.8638,7.562724
27.42361,7.149305
27.53763,8.881721
27.01736,8.895833
25.01075,6.695341
24.39583,7.114583
22.72043,6.763441
23.27083,5.284722
22.33692,4.97491
20.71528,4.253472
20.10753,4.075269
19.13889,3.857639
18.86038,3.769811
20.11722,3.835165
19.58712,3.825758
18.94718,3.447183
16.55396,2.971223
15.95105,2.954545
14.03249,2.35018
13.60839,2.230769
13.34892,2.532374
12.92683,2.108014
11.32374,1.888489
11.02091,2.094077
10.33692,1.620072
11.20906,1.794425
10.69065,1.564748
11.42308,1.706294
10.53047,1.677419
10.13937,1.543554
9.934783,1.492754
10.19081,1.696113
9.956204,1.60219
9.367491,1.427562
9.632728,1.574546
