time,intensidad,ocupacion
00:01:00,12.11024,2.090551
00:06:00,12.39923,2.178295
00:11:00,12.59302,2.162791
00:16:00,12.50775,2.096899
00:21:00,13.6124,2.527132
00:26:00,11.96899,2.395349
00:31:00,11.43023,2.077519
00:36:00,10.56589,1.806202
00:41:00,9.655039,1.658915
00:46:00,8.705426,1.503876
00:51:00,8.325582,1.217054
00:56:00,7.674418,1.22093
01:01:00,6.488372,0.9263566
01:06:00,5.934109,0.8565891
01:11:00,5.748062,0.6976744
01:16:00,5.302326,0.6589147
01:21:00,4.74031,0.5620155
01:26:00,4.472868,0.5271318
01:31:00,4.403101,0.5271318
01:36:00,3.802325,0.4612403
01:41:00,3.879845,0.5
01:46:00,3.476744,0.4883721
01:51:00,3.782946,0.5465117
01:56:00,3.546512,0.4651163
02:01:00,3.511628,0.4689922
02:06:00,3.577519,0.372093
02:11:00,4.112403,0.6395349
02:16:00,3.850394,0.3897638
02:21:00,3.417323,0.3307087
02:26:00,3.149606,0.3267716
02:31:00,3.220472,0.3149606
02:36:00,2.952756,0.3228346
02:41:00,2.704724,0.2480315
02:46:00,2.685039,0.523622
02:51:00,2.397638,0.2716535
02:56:00,2.306201,0.1627907
03:01:00,1.895349,0.1007752
03:06:00,2.062016,0.2713178
03:11:00,1.868217,0.1744186
03:16:00,2.07874,0.1811024
03:21:00,1.889764,0.1259843
03:26:00,1.5,0.09689923
03:31:00,1.496124,0.1434108
03:36:00,1.523256,0.1085271
03:41:00,1.724806,0.1395349
03:46:00,1.802326,0.124031
03:51:00,1.406977,0.1124031
03:56:00,1.759843,0.1574803
04:01:00,1.661417,0.1220472
04:06:00,1.662791,0.1860465
04:11:00,1.550388,0.1434108
04:16:00,1.403101,0.1472868
04:21:00,1.414729,0.1744186
04:26:00,1.647287,0.1511628
04:31:00,1.709302,0.127907
04:36:00,2.046512,0.1821705
04:41:00,2.003876,0.251938
04:46:00,1.825581,0.1860465
04:51:00,2.158915,0.3682171
04:56:00,2.19685,0.1771654
05:01:00,2.574803,0.3070866
05:06:00,2.625984,0.3543307
05:11:00,2.507874,0.3110236
05:16:00,2.633858,0.3425197
05:21:00,2.795276,0.3740157
05:26:00,3.433071,0.496063
05:31:00,4.208662,0.5866142
05:36:00,4.655039,0.6860465
05:41:00,5.135659,0.8372093
05:46:00,5.604651,0.8139535
05:51:00,6.054264,0.9341086
05:56:00,6.073643,1.205426
06:01:00,6.333333,0.9844961
06:06:00,7.174418,1.217054
06:11:00,7.821705,1.290698
06:16:00,9.554263,1.755814
06:21:00,10.42802,2.097276
06:26:00,12.07004,2.416342
06:31:00,13.56202,2.806201
06:36:00,16.04651,3.542636
06:41:00,18.53876,3.98062
06:46:00,20.50388,4.608527
06:51:00,20.4845,4.670543
06:56:00,21.77519,5.488372
07:01:00,20.87209,4.717054
07:06:00,19.8062,4.441861
07:11:00,22.64729,4.868217
07:16:00,24.53101,5.399225
07:21:00,26.18217,5.616279
07:26:00,28.95737,6.213178
07:31:00,29.84496,6.689922
07:36:00,32.01163,7.46124
07:41:00,34.08527,9.155039
