intensidad,ocupacion
9.516014,1.366548
9.729537,1.373665
9.508897,1.768683
10.38351,1.577061
11.05755,1.78777
11.15468,1.758993
11.96403,2.017986
12.23551,1.934783
11.50534,2.914591
11.54093,3.377224
10.86121,2.946619
11.05694,3.13879
12.07473,3.142349
13.40569,3.58363
13.25267,3.519573
13.67857,2.357143
15.11786,2.703571
16.80714,2.975
17.62857,3.407143
19.01075,3.799283
18.98227,3.77305
18.60211,3.334507
18.90845,3.757042
18.48944,4.197183
19.56993,5.003497
20.34965,5.520979
21.39511,5.811189
21.91259,5.730769
22.6,5.375439
23.97193,5.424562
24.30526,6.22807
24.66549,6.359155
25.74823,6.489362
24.84859,5.630282
23.67606,5.408451
24.82394,5.975352
25.2993,5.848591
25.70922,6.170213
25.45036,6.12766
25.25177,5.751773
24.53192,5.939716
25.34397,5.723404
27.14184,6.503546
27.23214,6.660714
27.46808,6.429078
26.0605,6.395018
25.16072,6.160714
23.99291,6.322695
25.89716,7.195035
26.93617,7.421986
25.879,6.989324
25.90106,7.226149
25.90909,8.409091
25.44056,7.153846
26.29825,7.22807
25.64912,7.010526
25.26132,6.714286
24.62238,6.622377
23.75874,6.255245
23.8042,5.527972
24.58042,6.27972
24.81119,6.797203
23.50347,7.315972
23.29861,6.229167
23.56446,6.222997
23.03484,6.271777
24.25087,7.292683
23.44056,7.653846
23.09091,7.20979
22.23776,5.839161
21.18728,4.692579
21.59298,5.835088
22.13287,6.041958
23.25525,6.34965
22.11111,5.277778
20.59722,4.666667
20.82807,4.607018
20.94077,4.993032
21.8885,4.909408
21.9965,4.632867
21.47719,4.792983
19.98582,4.088653
19.76241,4.241135
20.90392,4.274021
21.23487,4.348754
21.72598,5.032029
21.57762,4.765343
19.99639,4.205776
20.01068,4.341637
19.96441,3.932384
20.11702,4.248227
20.97509,4.370107
20.99647,4.367491
20.48057,4.265018
21,4.261484
22.05654,4.583039
23.84099,4.957597
25.91519,5.936396
27.72438,5.932862
29.17668,6.911661
30.34982,7.593639
33.4539,8.819149
36.15603,9.351064
38.17921,10.8172
39.99291,10.64894
37.84752,9.432624
35.28014,8.91844
34.04947,8.388693
34.61267,8.975352
36.16491,8.887719
36.69474,9.017544
37.51228,9.403509
37.08772,9.477193
37.1614,9.564912
39.64912,10.07368
38.45937,10.19081
37.98944,10.12676
35.70671,9.60424
32.35106,8.361702
31.71731,7.590106
31.62057,7.79078
31.32624,8.095745
31.93972,7.893617
30.87589,7.641844
30.60993,7.858156
29.87279,7.261484
30.13475,7.843972
30.35816,7.70922
29.64184,7.535461
29.73776,8.63986
28.58042,8.41958
28.16783,8.013986
29,8.877623
27.9824,8.521127
28.49477,8.829268
28.65505,8.606272
28.65505,7.599303
28.88502,7.982578
28.45296,7.557491
29.68551,7.795053
28.60702,8.649123
29.32281,9.673684
29.20209,9.292683
28.76655,9.331011
29.11111,8.496528
28.4375,8.319445
