intensidad,ocupacion
12.47719,1.870175
12.52465,2.084507
13.01056,2.362676
12.74296,2.21831
12.72887,2.112676
13.69474,2.340351
14.59298,2.719298
14.89085,2.992958
15.24912,2.680702
14.36842,2.522807
13.67018,2.487719
13.41754,2.217544
14.68772,2.740351
14.70175,2.849123
15.45965,3.031579
15.59298,2.733333
15.81053,2.985965
17.05594,2.867133
18.28322,3.248252
18.94056,3.520979
19.34266,3.58042
19.42308,3.681818
18.73427,3.433566
18.57343,3.58042
20.24912,3.898246
19.77895,3.989474
20.83158,4.070176
21.41259,4.248252
21.41608,4.237762
22.02098,3.993007
22.41608,4.489511
23.61539,4.510489
24.65734,4.91958
23.58741,5.206294
24.03497,5.038462
24.28322,4.797203
26.2028,5.15035
26.06993,5.346154
27.38112,5.643357
27.50699,5.797203
26.56643,5.912588
27.06993,5.996503
27.63986,5.982518
26.44056,5.874126
26.99649,6.091228
27.13986,5.86014
27.66434,5.993007
27.6958,6.178322
27.84965,6.70979
27.7972,6.248252
27.5035,5.909091
28.1014,6.391608
28.4965,6.632867
27.72028,6.583916
28.6,6.557895
27.53333,6.266667
28.97183,6.922535
28.12676,6.922535
27.41754,6.382456
27.56294,6.171329
28.12937,6.108392
27.67832,6.206294
26.83217,6.136364
26.95455,6.559441
26.25525,5.947553
25.47902,6.122377
26.31228,6.698246
25.2807,5.891228
23.98601,5.734266
24.49301,5.989511
24.36014,5.716783
24.43007,5.503497
23.16084,6.167832
23.04196,6.269231
22.79021,5.832168
22.46503,6.055944
23.25088,5.862191
23.28622,6.371025
23.5159,5.293286
23.37103,5.388692
22.71378,5.409894
22.22261,5.325089
22.64311,5.572438
21.28269,5.240283
22.10601,5.593639
21.82685,5.420495
21.28975,5.844523
20.35315,6.972028
19.83916,7.199301
19.94755,8.56993
17.77972,8
18.67133,7.972028
18.58042,7.451049
17.10489,6.5
17.77273,5.632867
17.32867,3.940559
18.03497,3.947552
18.51748,4.307693
17.76224,3.839161
18.57895,4.070176
18.20351,3.985965
19.55986,4.869718
20.20423,4.605634
20.4386,4.270175
21.60489,4.622377
22.32867,4.681818
22.74126,4.793706
24.15734,5.398602
25.8042,5.877623
28.67483,6.461538
30.05944,7.185315
31.11539,7.265734
32.23776,7.954545
33.97902,9.367133
35.8007,10.20979
35.33566,9.573426
37.06993,9.884615
36.02128,10.19858
34.83333,9.478724
35.27305,9.443262
36.32624,9.578014
35.77305,9.333333
35.96809,9.226951
36.29787,9.680851
35.75175,9.125875
34.1014,9.024475
35.86364,9.216784
34.7028,8.951049
33.69231,8.982517
34.14685,9.083916
31.5,7.741259
31.39511,8.041958
31.33566,7.881119
30.87063,8.423077
30.66084,8.073426
31.19231,7.982518
31.59441,7.730769
29.61189,7.486014
31.16084,7.625874
30.52448,8.213286
29.32867,8.076923
29.53147,7.433567
28.72727,7.013986
28.83217,7.269231
30.15734,7.416084
28.04196,7.087412
28.01399,7.167832
27.92657,7.20979
27.16434,7.244755
26.90559,6.573427
26.18881,6.433567
25.04545,6.825175
24.74296,6.464789
24.86972,5.897887
24.5053,5.84099
23.59011,5.961131
24.37809,5.893993
23.39437,6.088028
23.22807,6.445614
23.17895,6.02807
21.77895,5.677193
21.90526,5.789474
20.67491,6.392226
20.17193,6.003509
19.87413,4.965035
19.05245,4.304196
19.27622,4.356643
18.45105,4.181818
19.73427,4.262238
19.49825,4.042105
18.38947,3.891228
17.50877,3.614035
16.96842,3.494737
16.21404,3.277193
15.8,3.091228
15.8662,3.362676
15.22456,3.491228
13.47719,4.140351
14.03158,4.235088
13.9614,3.989474
14.60351,3.266667
14.53684,3.645614
13.48772,3.322807
12.25614,2.621053
11.72983,2.466667
10.87719,2.066667
11.11539,2.122378
10.12238,1.891608
9.454545,1.559441
9.811189,1.793706
9.153846,1.587413
9.189474,1.368421
9.695805,1.321678
9.636364,1.405594
10.0035,1.520979
9.622377,1.479021
9.611888,1.702797
9.27972,1.384615
8.293706,1.234266
7.90493,1.235916
7.71831,1.017606
7.214035,1.017544
6.368421,0.8175439
6.167832,0.6888112
6.744755,0.9405594
6.828671,0.9230769
6.789474,0.9614035
6.168421,1
5.459649,1.031579
5.473684,0.8175439
4.992982,0.522807
5.010563,0.5774648
4.845614,0.4736842
4.533333,0.4596491
4.210526,0.5649123
4.115789,0.4
3.992982,0.3473684
4.266667,0.4245614
4.101754,0.3859649
3.922807,0.3438596
3.821053,0.3578947
3.554386,0.2736842
3.280702,0.2035088
3.22807,0.2666667
2.908772,0.1894737
3.080702,0.277193
3.140351,0.2105263
2.936842,0.2947368
2.929825,0.3192982
2.922807,0.2
2.919298,0.1824561
3.024561,0.2701754
2.964912,0.2807018
3.063158,0.2526316
3,0.2315789
3.126316,0.2105263
3.091228,0.2947368
2.726316,0.1508772
3.129825,0.2
3.098246,0.1824561
3.182456,0.1789474
3.42807,0.3298246
3.533333,0.3192982
3.912281,0.2631579
3.508772,0.2877193
3.592983,0.2385965
4.014035,0.322807
3.726316,0.3649123
3.789474,0.2947368
3.964912,0.4035088
3.915789,0.2877193
3.982456,0.3649123
3.989474,0.3859649
3.982456,0.368421
4.238596,0.3052632
4.42807,0.3403509
4.05614,0.3403509
4.491228,0.4315789
4.803509,0.4736842
5.052631,0.5368421
4.961403,0.5157894
5.192983,0.4842105
5.547369,0.5052631
5.624561,0.5824561
5.294737,0.5157894
6.017544,0.7192982
5.603509,0.5263158
6.119298,0.6947368
6.221053,0.6280702
6.701755,0.8912281
6.596491,0.6666667
6.996491,0.7754386
7.298933,0.7437723
8.099644,1.024911
8.414035,1.080702
8.42807,0.9614035
8.719298,1.108772
9.540351,1.231579
9.838596,1.182456
10.67018,1.666667
10.68772,1.666667
11.4386,1.659649
12.03158,1.894737
12.12281,1.775439
13.32281,1.926316
12.67719,1.838596
11.77193,1.740351
13.09825,1.947368
